id,mevcut_ad,mevcut_alt_ad,onerilen_turkce_ad,yaygin_salon_adi,kaynak_1,kaynak_2,guven,not,hareket_aciklamasi,birincil_kaslar,arketip
ab-wheel-rollout,Ab wheel rollout,Tekerlekle açılma,,,,,,,"Diz üstünde, tekerlek öne gider: gövde yere paralelleşir, bel çökmez.","absMid, absUpper",rollout
arm-circles,Kol çevirme,Arm circles,,,,,,,,,arm_circles_front
back-squat,Back squat,,,,,,,,"Back squat: bar sirtta, eller bari tutuyor. Dirsek ASAGI bakar (bend -1); yukari bakan dirsek squat durusu degil. Eller eskiden bardan 56px otede havada duruyordu ve hareket 'eller arkada tutuluyor' gibi okunuyordu.","quadRF, quadVL, quadVM, gluteMax, erector, adductors",squat
band-external-rotation,Bant ile dış rotasyon,Band external rotation,,,,,,,,"infra, teres",band_ext_rotation_front
band-pull-apart,Bant pull-apart,,,,,,,,,"deltPost, trapMid",band_pull_apart_front
barbell-row,Barbell row,Barbell kürek çekme,,,,,,,"--- Çekiş ------------------------------------------------------------- Menteşede kürek: gövde sabit ~65°, hareket yalnızca kollardan.","lat, trapMid, deltPost, biceps",standing_row_hinged
bench-press,Bench press,Göğüs presi,,,,,,,,"pecSternal, pecClav, deltFront, triLat, triLong",bench_press
biceps-curl,Biceps curl,Kol bükme,,,,,,,"Dirsek gövdeye sabit, yalnızca ön kol döner.","biceps, brachialis",standing_arm_isolation
bird-dog,Bird-dog,,,,,,,,Çapraz kol ve bacak uzanır; diğer diz ve el yerde kalır.,"erector, gluteMax",bird_dog
bulgarian-split-squat,Bulgarian split squat,,,,,,,,,"quadRF, quadVL, gluteMax",bulgarian_split_squat
calf-raise,Calf raise,Topuk yükseltme,,,,,,,"Topuk kalkisi 38px idi ama ayak bilegi-parmak ucu mesafesi 23px'e izin veriyor; fazlasinda parmak yerden kopuyor ve ayak carpik cizilyordu. 22px'e cekildi (figur boyunun ~%5'i, gercek bir topuk kalkisi kadar).","gastroLat, gastroMed, soleus",calf_raise
cat-cow,Kedi-deve,Cat-cow,,,,,,,,erector,quadruped_spine
chest-supported-row,Göğüs destekli kürek,Chest-supported row,,,,,,,"--- Çekiş ------------------------------------------------------------- Menteşede kürek: gövde sabit ~65°, hareket yalnızca kollardan.","trapMid, deltPost, lat",standing_row_hinged
